pipeline_code,road_name,start_x,start_y,end_x,end_y
route6_scope-P0001,示例道路1,120.200000,36.100000,120.200700,36.100300
route6_scope-P0002,示例道路2,120.201000,36.100000,120.201700,36.100300
route6_scope-P0003,示例道路3,120.202000,36.100000,120.202700,36.100300
route6_scope-P0004,示例道路4,120.203000,36.100000,120.203700,36.100300
route6_scope-P0005,示例道路5,120.204000,36.100000,120.204700,36.100300
route6_scope-P0006,示例道路6,120.205000,36.100000,120.205700,36.100300
route6_scope-P0007,示例道路7,120.206000,36.100000,120.206700,36.100300
route6_scope-P0008,示例道路8,120.207000,36.100000,120.207700,36.100300
route6_scope-P0009,示例道路1,120.208000,36.100000,120.208700,36.100300
route6_scope-P0010,示例道路2,120.209000,36.100000,120.209700,36.100300
route6_scope-P0011,示例道路3,120.210000,36.100000,120.210700,36.100300
route6_scope-P0012,示例道路4,120.211000,36.100000,120.211700,36.100300
route6_scope-P0013,示例道路5,120.212000,36.100000,120.212700,36.100300
route6_scope-P0014,示例道路6,120.213000,36.100000,120.213700,36.100300
route6_scope-P0015,示例道路7,120.214000,36.100000,120.214700,36.100300
route6_scope-P0016,示例道路8,120.215000,36.100000,120.215700,36.100300
route6_scope-P0017,示例道路1,120.216000,36.100000,120.216700,36.100300
route6_scope-P0018,示例道路2,120.217000,36.100000,120.217700,36.100300
route6_scope-P0019,示例道路3,120.218000,36.100000,120.218700,36.100300
route6_scope-P0020,示例道路4,120.219000,36.100000,120.219700,36.100300
route6_scope-P0021,示例道路5,120.220000,36.100000,120.220700,36.100300
route6_scope-P0022,示例道路6,120.221000,36.100000,120.221700,36.100300
route6_scope-P0023,示例道路7,120.222000,36.100000,120.222700,36.100300
route6_scope-P0024,示例道路8,120.223000,36.100000,120.223700,36.100300
